Date,Open,High,Low,Close,Adj Close,Volume
2003-04-03,81.765701,81.854103,80.911201,81.559502,49.590347,1942317
2003-04-04,81.323700,83.032700,81.323700,82.738098,50.306957,3409458
2003-04-07,83.091698,86.038200,82.944298,85.242599,51.829765,5147925
2003-04-08,80.233498,84.800598,80.233498,83.651497,50.862339,3190318
2003-04-09,83.091698,83.533600,82.207703,82.738098,50.306957,2472807
2003-04-10,83.032700,84.093498,81.087997,81.913002,49.805290,3212418
2003-04-11,81.765701,83.592598,79.555801,80.734398,49.088657,2533449
2003-04-14,null,null,null,null,null,null
2003-04-15,80.734398,80.734398,75.902199,77.316498,47.010487,5146177
2003-04-16,77.728996,79.261200,76.756599,78.966499,48.013729,4049321
2003-04-17,78.436203,78.671898,77.139702,77.611099,47.189610,3819061
2003-04-18,null,null,null,null,null,null
2003-04-21,77.787903,78.878098,77.611099,78.465599,47.709160,2603624
2003-04-22,78.966499,79.231697,77.375397,77.699501,47.243355,2313080
2003-04-23,77.935204,78.229897,75.430702,75.813797,46.096802,2833891
2003-04-24,76.432503,77.787903,74.340500,74.988701,45.595119,9352355
2003-04-25,75.430702,76.137901,74.546799,75.430702,45.863873,3499154
2003-04-28,74.900299,77.522697,74.841400,77.257599,46.974678,5845418
2003-04-29,78.377197,78.377197,76.196800,76.520897,46.526733,4266000
2003-04-30,76.727203,78.170998,76.668297,77.876297,47.350857,3854080
2003-05-01,null,null,null,null,null,null
2003-05-02,78.023598,78.583504,77.375397,78.023598,47.440414,2173845
2003-05-05,78.966499,80.145103,78.789703,79.850502,48.551224,3325124
2003-05-06,79.997803,80.675499,79.408501,79.938904,48.604977,2536477
2003-05-07,80.233498,80.321899,78.436203,78.848701,47.942104,3252924
2003-05-08,78.377197,78.524597,77.434303,77.728996,47.261292,2559906
2003-05-09,77.846802,79.025497,77.198601,78.730797,47.870415,2465552
2003-05-12,78.966499,79.673698,78.583504,78.848701,47.942104,1672184
2003-05-13,78.966499,79.555801,78.671898,79.438004,48.300411,1515159
2003-05-14,79.909401,81.264801,79.496902,80.351402,48.855785,4276196
2003-05-15,80.734398,82.355003,80.439796,82.089798,49.912788,3116407
2003-05-16,82.060402,83.032700,81.412102,81.913002,49.805290,2993324
2003-05-19,82.030899,83.238998,81.618401,81.942497,49.823208,2412208
2003-05-20,80.734398,82.944298,80.734398,82.649696,50.253201,3027992
2003-05-21,83.121101,84.181900,83.121101,83.268402,50.629398,2550161
2003-05-22,83.563103,84.859596,83.297897,84.211304,51.202705,4157319
2003-05-23,84.358704,85.979202,84.358704,85.566704,52.026833,3443488
2003-05-26,87.216797,87.216797,85.743500,86.038200,52.313507,3406305
2003-05-27,86.892601,87.157799,83.680901,84.093498,51.131084,3166746
2003-05-28,84.859596,86.598000,83.386299,86.450699,52.564320,5614487
2003-05-29,87.806099,91.282997,85.773003,90.251701,54.875427,20220943
2003-05-30,99.002800,99.002800,91.518700,93.109802,56.613232,15809294
2003-06-02,93.404404,94.936600,92.402603,92.932999,56.505726,7220623
2003-06-03,93.404404,93.728600,91.047203,91.842796,55.842861,6232316
2003-06-04,92.667801,92.815102,91.223999,92.078499,55.986172,4790416
2003-06-05,93.080299,94.170502,92.284798,93.787498,57.025291,8820043
2003-06-06,94.730400,96.056297,94.641998,95.584900,58.118156,11452774
2003-06-09,90.752602,92.049004,89.514999,91.666000,60.826229,8336582
2003-06-10,92.225800,92.667801,88.424797,88.984703,59.047024,7227374
2003-06-11,89.573997,90.310600,87.982903,89.249901,59.222992,7047279
2003-06-12,88.984703,89.456100,88.159698,88.424797,58.675488,4474331
2003-06-13,88.925697,89.279297,88.100700,88.454300,58.695061,4171176
2003-06-16,88.454300,88.631104,86.863197,87.187302,57.854317,3645535
2003-06-17,88.159698,89.220398,87.540901,88.778397,58.910126,4837440
2003-06-18,89.573997,91.400803,89.220398,90.222198,59.868176,7819165
2003-06-19,90.723099,93.316002,90.634697,92.667801,61.490993,11286675
2003-06-20,92.402603,93.758003,91.990097,92.815102,61.588730,5597048
2003-06-23,92.520500,95.319702,92.520500,93.109802,61.784283,10150691
2003-06-24,93.109802,94.789299,92.579399,94.199997,62.507694,7924561
2003-06-25,94.435699,96.144699,94.435699,95.467003,63.348431,8104631
2003-06-26,95.908997,96.056297,93.168701,93.640198,62.136234,10457589
2003-06-27,94.612503,98.796600,93.699097,98.266197,65.205887,16842017
2003-06-30,98.560799,101.182999,98.560799,99.798401,66.222595,8738867
2003-07-01,100.771004,102.184998,98.796600,100.358002,66.593918,11422652
2003-07-02,101.005997,103.010002,101.005997,101.978996,67.669571,11227807
2003-07-03,103.363998,104.129997,100.859001,101.566002,67.395508,7704159
2003-07-04,101.948997,102.981003,100.917999,101.713997,67.493713,5720221
2003-07-07,101.948997,104.660004,100.947998,103.392998,68.607849,8753999
2003-07-08,105.397003,105.632004,102.626999,103.334000,68.568680,9021948
2003-07-09,103.392998,103.422997,101.212997,101.507004,67.356361,4950595
2003-07-10,101.773003,104.955002,101.477997,104.483002,69.331108,8320802
2003-07-11,105.307999,108.961998,105.220001,108.343002,71.892471,12616623
2003-07-14,106.073997,112.821999,106.073997,111.938004,74.278008,9593588
2003-07-15,113.146004,114.088997,109.963997,112.556999,74.688744,16287451
2003-07-16,113.146004,117.566002,112.203003,117.094002,77.699326,15844597
2003-07-17,117.742996,120.128998,114.324997,115.296997,76.506897,19057574
2003-07-18,114.265999,117.271004,113.735001,116.003998,76.976036,12993835
2003-07-21,116.681999,118.714996,111.732002,112.556999,74.688744,15638829
2003-07-22,111.672997,113.676003,108.667000,109.551003,72.694061,17722942
2003-07-23,111.849998,113.264000,107.872002,109.846001,72.889809,33388310
